category_code,view,cart,cart_pct,purchase,purchase_pct,cvr,total_price,price_pct
electronics.smartphone,10614666,549743,0.05,338018,0.61,0.03,5430804094.0,0.44
electronics.audio.headphone,1017685,51142,0.05,30503,0.6,0.03,107340978.0,0.01
medicine.tools.tonometer,13962,522,0.04,310,0.59,0.02,754420.0,0.0
electronics.clocks,1562600,40280,0.03,26516,0.66,0.02,397341896.0,0.03
electronics.video.tv,1216925,41658,0.03,25241,0.61,0.02,560585351.0,0.05
beauty.technique.dryer,345980,9951,0.03,7598,0.76,0.02,18947306.0,0.0
electronics.tablet,301839,9132,0.03,5603,0.61,0.02,108108503.0,0.01
appliances.kitchen.microwave,164803,4717,0.03,3709,0.79,0.02,18315746.0,0.0
appliances.iron,157493,4093,0.03,3653,0.89,0.02,14398487.0,0.0
computers.peripherals.printer,145477,3685,0.03,2496,0.68,0.02,32316857.0,0.0
appliances.environment.water_heater,138563,3915,0.03,2774,0.71,0.02,15857544.0,0.0
appliances.kitchen.dishwasher,1004840,24095,0.02,17523,0.73,0.02,343808545.0,0.03
appliances.kitchen.refrigerators,862970,13124,0.02,11218,0.85,0.01,352448752.0,0.03
appliances.environment.vacuum,771359,17256,0.02,12378,0.72,0.02,135679368.0,0.01
electronics.telephone,238317,5342,0.02,3738,0.7,0.02,9101315.0,0.0
appliances.kitchen.blender,194365,3503,0.02,3044,0.87,0.02,12471215.0,0.0
auto.accessories.alarm,187599,4100,0.02,2441,0.6,0.01,33428315.0,0.0
appliances.kitchen.kettle,178410,3255,0.02,2983,0.92,0.02,7493413.0,0.0
appliances.environment.air_heater,153181,2981,0.02,2483,0.83,0.02,8168005.0,0.0
appliances.sewing_machine,148014,2287,0.02,1939,0.85,0.01,40350435.0,0.0
construction.tools.saw,139167,2559,0.02,1820,0.71,0.01,30599385.0,0.0
appliances.kitchen.multicooker,108316,2469,0.02,1741,0.71,0.02,10644851.0,0.0
construction.tools.welding,90941,1892,0.02,1081,0.57,0.01,20969901.0,0.0
electronics.audio.music_center,88893,1525,0.02,1198,0.79,0.01,24864576.0,0.0
appliances.kitchen.mixer,87647,1391,0.02,1260,0.91,0.01,10779615.0,0.0
appliances.kitchen.grill,72818,1117,0.02,723,0.65,0.01,12243263.0,0.0
appliances.personal.hair_cutter,63745,1153,0.02,1047,0.91,0.02,2712983.0,0.0
computers.components.hdd,62602,1171,0.02,1035,0.88,0.02,5292835.0,0.0
appliances.personal.scales,62572,1412,0.02,1332,0.94,0.02,1361327.0,0.0
auto.accessories.radar,42350,716,0.02,494,0.69,0.01,3960486.0,0.0
construction.tools.pump,33877,606,0.02,322,0.53,0.01,5377679.0,0.0
computers.ebooks,29060,476,0.02,294,0.62,0.01,4703001.0,0.0
appliances.kitchen.coffee_grinder,11566,222,0.02,132,0.59,0.01,386075.0,0.0
no_cat,3135201,22801,0.01,28830,1.26,0.01,611902941.0,0.05
auto.accessories.tire,1821657,20869,0.01,44019,2.11,0.02,126277619.0,0.01
computers.notebook,1104823,15627,0.01,15590,1.0,0.01,809257162.0,0.07
appliances.kitchen.cooker,447673,5280,0.01,4740,0.9,0.01,121933348.0,0.01
computers.desktop,417463,3229,0.01,3232,1.0,0.01,227259585.0,0.02
construction.tools.drill,273487,3577,0.01,2790,0.78,0.01,33586510.0,0.0
appliances.kitchen.meat_grinder,258402,3061,0.01,2978,0.97,0.01,40943428.0,0.0
auto.accessories.videoregister,218948,2689,0.01,2375,0.88,0.01,26233047.0,0.0
appliances.environment.air_conditioner,193128,2093,0.01,2024,0.97,0.01,28751610.0,0.0
appliances.kitchen.oven,190817,1710,0.01,2335,1.37,0.01,38774755.0,0.0
appliances.environment.boiler,138155,1817,0.01,2162,1.19,0.02,76774123.0,0.01
electronics.smartphone.phone_accessories,130893,1101,0.01,885,0.8,0.01,3400726.0,0.0
sport.bicycle,128656,693,0.01,838,1.21,0.01,52118116.0,0.0
appliances.kitchen.multibaker,112351,1078,0.01,775,0.72,0.01,4949911.0,0.0
construction.tools.generator,111697,1567,0.01,1244,0.79,0.01,24748642.0,0.0
furniture.kitchen.chair,106277,854,0.01,1156,1.35,0.01,8295343.0,0.0
furniture.kitchen.pan,105944,943,0.01,1319,1.4,0.01,3282582.0,0.0
appliances.kitchen.hood,104868,1080,0.01,936,0.87,0.01,13501154.0,0.0
appliances.kitchen.hob,104526,1247,0.01,959,0.77,0.01,25071238.0,0.0
computers.peripherals.monitor,103623,1080,0.01,1035,0.96,0.01,28864371.0,0.0
electronics.audio.acoustic,93913,574,0.01,888,1.55,0.01,42351410.0,0.0
kids.skates,84721,722,0.01,704,0.98,0.01,29355925.0,0.0
appliances.kitchen.coffee_machine,81768,574,0.01,544,0.95,0.01,34597603.0,0.0
furniture.living_room.chair,71230,467,0.01,648,1.39,0.01,9910782.0,0.0
computers.peripherals.mouse,70116,861,0.01,1051,1.22,0.01,2579102.0,0.0
computers.peripherals.keyboard,52494,420,0.01,600,1.43,0.01,2807227.0,0.0
appliances.kitchen.juicer,46218,656,0.01,554,0.84,0.01,5233072.0,0.0
electronics.camera.video,39072,510,0.01,350,0.69,0.01,15390686.0,0.0
electronics.audio.music_tools.piano,35409,410,0.01,423,1.03,0.01,8016711.0,0.0
sport.trainer,35085,351,0.01,367,1.05,0.01,14283620.0,0.0
appliances.ironing_board,34227,354,0.01,664,1.88,0.02,1743179.0,0.0
electronics.audio.microphone,28339,196,0.01,430,2.19,0.02,4131245.0,0.0
appliances.kitchen.toster,25885,388,0.01,459,1.18,0.02,1298039.0,0.0
